namespace,bus_context,slave,range_start,range_end,fc03,fc06,fc10,ram_base,role,write_risk,confidence,notes
MAIN:P,Direct Mainboard/User Modbus,dynamic_MAIN_unit,1001,1540,yes,yes_except_headers,yes,0x20012788+0x3E8,Public configuration parameters,medium-high,confirmed,"FC06 headers 1001-1010;1091-1100;1181-1190;1271-1280;1361-1370;1451-1460 blocked; MAIN:1334 value3 activates virtual SG Ready via ENG:CTRL:8801"
MAIN:S,Mainboard status/broadcast,0x00 broadcast internally,2001,2180,read/status,no_normal_write,n/a,0x20012788+0x7D0,Public runtime/status,low,confirmed,"V3.3 broadcasts 2001-2090 and 2091-2180; MAIN:2133 is effective SG mode and obeys 10-minute transition hold"
ENG:A,Direct Mainboard engineering,dynamic_MAIN_unit,5001,5090,yes,yes,yes,0x20015158,Engineering parameter shadow/service profile,high,confirmed,"Bidirectional mirror/apply to live parameter structures"
ENG:B,Direct Mainboard engineering,dynamic_MAIN_unit,5091,5180,yes_stateful,no,yes,0x2001520C,Engineering config synchronization/forwarding window,high,confirmed,"90-word engineering/config window; separate from Warmlink dispatcher even though an internal forwarding path can target Unit 0x63"
DIAG,Direct Mainboard engineering,dynamic_MAIN_unit,6001,6090,yes,no,no,0x200152C0,Live engineering diagnostic snapshot,low,confirmed,"Read sets diagnostic/session flag; contains temperatures compressor/fan telemetry and low-level IO bitfields"
ENG:CTRL,Direct Mainboard/User engineering,dynamic_MAIN_unit,8801,8820,yes,yes,yes,0x20016970,Engineering control window,high,confirmed,"Direct-dispatcher rights only. 8801 virtual SG Ready command is live-confirmed R/W on User Modbus; values1-4 map to SG modes1-4; 10-minute hold after accepted mode; changing MAIN:1334 resets hold; 8802-8820 semantics open"
SPECIAL:ADDR_RESET,Direct Mainboard engineering,dynamic_MAIN_unit,60000,60000,no,special,no,n/a,Reset MAIN:1024 Modbus Unit Address to 1,very_high,confirmed,"FC06 special command in direct Mainboard dispatcher"
SPECIAL:ADDR_PROVISION,Direct Mainboard engineering,dynamic_MAIN_unit,60010,60010,special,no,special,UID=0x20016DCC,STM32 UID-bound Modbus address provisioning,very_high,confirmed,"FC03 returns six UID words; FC10 verifies 12 UID bytes then updates MAIN:1024; direct Mainboard dispatcher"
WARMLINK63:MAIN:P,USART1 Warmlink/LTE service dispatcher,0x63,1001,1540,yes,yes,yes,n/a,Warmlink access to normal Mainboard parameter range,high,confirmed,"Explains live read/write of MAIN:1334 over LTE; access is handled by separate 0x63 dispatcher near 0x08067548"
WARMLINK63:MAIN:S,USART1 Warmlink/LTE service dispatcher,0x63,2001,2180,yes,no,no,n/a,Warmlink read access to Mainboard public status range,low,confirmed,"Explains live read of MAIN:2133 over LTE; normal 0x63 FC10 path does not expose this range"
WARMLINK63:CFG5091,USART1 Warmlink/LTE service dispatcher,0x63,5091,5180,no,no,yes,n/a,Warmlink 90-word config/service transfer window,high,confirmed,"FC10-only normal range in reconstructed 0x63 dispatcher"
WARMLINK63:SVC7001,USART1 Warmlink/LTE service dispatcher,0x63,7001,7090,no,no,yes,n/a,Warmlink service transfer window A,high,confirmed_addressing,"FC10 normal range; detailed field semantics still open"
WARMLINK63:SVC7091,USART1 Warmlink/LTE service dispatcher,0x63,7091,7180,no,no,yes,n/a,Warmlink service transfer window B,high,confirmed_addressing,"FC10 normal range; detailed field semantics still open"
